vphone_ad,year,unit_code,street_ad,scity_ad,state_ad,szip_ad,type_cd,closed_ind,new_ind,super_nm,category_cd,url_ad,grade_range_cd,calendar_type_txt,sna_pgm_type_cd,cover_letter_ad,school_type_txt,calendar_only_txt,title1_type_cd,clp_ind,focus_clp_ind,summer_program_ind,asm_no_spg_ind,no_data_spg_ind,Lea_Name,School_Name,State_Name,esea_status,student_num,lea_avg_student_num,st_avg_student_num,Grad_project_status,stem,url,Latitude,Longitude,D_D_E_F_G,Street number,Street,City,State,Country,Zip,Address components
(336)506-4001,2017,10303,1247 Jimmie Kerr Road,Graham,NC,27253,P,0,0,,H,http://amc.abss.k12.nc.us,13-Sep,Regular School, Traditional Calendar,R,https://www.abss.k12.nc.us/Page/27733,Regular School,Traditional Calendar,,,,,,,Alamance-Burlington Schools,Alamance-Burlington Middle/Early College,State Of North Carolina,,152,996,853,N,,36.063758,-79.357747,1247 Jimmie Kerr Road Graham NC 27253,1247,Jimmie Kerr Road,Haw River,North Carolina,United States,27258,"1247, Jimmie Kerr Road, Haw River, 13, Haw River, Alamance County, North Carolina, United States, 27258"
(919)563-5991,2017,10324,4040 Mebane Rogers,Mebane,NC,27302,P,0,0,,H,http://eah.abss.k12.nc.us,12-Sep,Regular School, Traditional Calendar,R,https://www.abss.k12.nc.us/Page/27733,Regular School,Traditional Calendar,,Y,Y,,,,Alamance-Burlington Schools,Eastern Alamance High,State Of North Carolina,,1210,996,853,N,,36.1135494,-79.302277,4040 Mebane Rogers Mebane NC 27302,4040,Mebane Rogers Road,Mebane,North Carolina,United States,27302,"4040, Mebane Rogers Road, Mebane, Melville, Alamance County, North Carolina, United States, 27302"
(336)570-6440,2017,10348,903 Trollinger Road,Graham,NC,27253,P,0,0,,H,http://grh.abss.k12.nc.us/,12-Sep,Regular School, Traditional Calendar,R,https://www.abss.k12.nc.us/Page/27733,Regular School,Traditional Calendar,,,,,,,Alamance-Burlington Schools,Graham High,State Of North Carolina,,810,996,853,N,,36.0754477,-79.3830719,903 Trollinger Road Graham NC 27253,903,Trollinger Road,Graham,North Carolina,United States,27253,"903, Trollinger Road, Graham, 6, Graham, Alamance County, North Carolina, United States, 27253, 1945"
(336)570-6100,2017,10360,2200 N Mebane Street,Burlington,NC,27217,P,0,0,,H,http://hch.abss.k12.nc.us/,12-Sep,Regular School, Traditional Calendar,R,https://www.abss.k12.nc.us/Page/27733,Regular School,Traditional Calendar,,,,,,,Alamance-Burlington Schools,Hugh M Cummings High,State Of North Carolina,,897,996,853,N,,36.0886278,-79.396541,2200 N Mebane Street Burlington NC 27217,2200,North Mebane Street,Burlington,North Carolina,United States,27217,"2200, North Mebane Street, Burlington, 6, Graham, Alamance County, North Carolina, United States, 27217"
(336)570-6400,2017,10388,631 Southern High Road,Graham,NC,27253,P,0,0,,H,http://sah.abss.k12.nc.us/,12-Sep,Regular School, Traditional Calendar,R,https://www.abss.k12.nc.us/Page/27733,Regular School,Traditional Calendar,,,Y,,,,Alamance-Burlington Schools,Southern High,State Of North Carolina,,1511,996,853,N,,36.006858,-79.40889,631 Southern High Road Graham NC 27253,631,Southern High School Road,Graham,North Carolina,United States,27253,"631, Southern High School Road, Graham, 7, Albright, Alamance County, North Carolina, United States, 27253, 8414"
(336)570-6161,2017,10396,1307 S Church Street,Burlington,NC,27215,P,0,0,,H,http://wwh.abss.k12.nc.us/,12-Sep,Regular School, Traditional Calendar,R,https://www.abss.k12.nc.us/Page/27733,Regular School,Traditional Calendar,,Y,,,,,Alamance-Burlington Schools,Walter M Williams High,State Of North Carolina,,1135,996,853,N,,36.0884929,-79.4543311,1307 S Church Street Burlington NC 27215,1307,South Church Street,Burlington,North Carolina,United States,27215,"1307, South Church Street, Burlington, 12, Burlington, Alamance County, North Carolina, United States, 27215, 4919"
(336)538-6020,2017,10400,1731 N NC 87,Elon,NC,27244,P,0,0,,H,http://wah.abss.k12.nc.us/,12-Sep,Regular School, Traditional Calendar,R,https://www.abss.k12.nc.us/Page/27733,Regular School,Traditional Calendar,,,,,,,Alamance-Burlington Schools,Western Alamance High,State Of North Carolina,,1258,996,853,N,,36.1530606,-79.4975957,1731 N NC 87 Elon NC 27244,1731,North North Carolina Highway 87,Elon,North Carolina,United States,27244,"1731, North North Carolina Highway 87, Elon, 3, Boone Station, Alamance County, North Carolina, United States, 27244, 9711"
(828)632-7063,2017,20302,223 School Drive,Taylorsville,NC,28681,P,0,0,,H,http://www.alexander.k12.nc.us/alexandercentral,12-Sep,Regular School, Traditional Calendar,R,,Regular School,Traditional Calendar,,,,,,,Alexander County Schools,Alexander Central High,State Of North Carolina,,1398,727,853,Y,,35.9167533,-81.1893043,223 School Drive Taylorsville NC 28681,223,School Drive,Township of Taylorsville,North Carolina,United States,28681,"223, School Drive, Township of Taylorsville, Taylorsville, Alexander County, North Carolina, United States, 28681"
(828)632-8221,2017,20303,230 Industrial Blvd,Taylorsville,NC,28681,P,0,0,,H,http://www.alexander.k12.nc.us/aec,9-Sep,Regular School, Year-Round Calendar,Y,,Regular School,Year-Round Calendar,,,,,,,Alexander County Schools,Alexander Early College,State Of North Carolina,,56,727,853,N,,35.910777,-81.1815586,230 Industrial Blvd Taylorsville NC 28681,230,Industrial Boulevard,Township of Taylorsville,North Carolina,United States,28681,"230, Industrial Boulevard, Township of Taylorsville, Taylorsville, Alexander County, North Carolina, United States, 28681, 5910"
(336)372-4554,2017,30304,404 Trojan Avenue,Sparta,NC,28675,P,0,0,,H,http://ahs.alleghany.k12.nc.us,12-Sep,Regular School, Traditional Calendar,R,,Regular School,Traditional Calendar,,,,,,,Alleghany County Schools,Alleghany High,State Of North Carolina,,438,438,853,N,,36.513866,-81.1228223,404 Trojan Avenue Sparta NC 28675,404,Trojan Avenue,Sparta,North Carolina,United States,28675,"404, Trojan Avenue, Sparta, Gap Civil, Alleghany County, North Carolina, United States, 28675"
