unit_code,szip_ad,Lea_Name,School_Name,State_Name,Latitude,Longitude,Address components
10303,27253,Alamance-Burlington Schools,Alamance-Burlington Middle/Early College,State Of North Carolina,36.06,-79.36,"1247, Jimmie Kerr Road, Haw River, 13, Haw River, Alamance County, North Carolina, United States, 27258"
10311,27217,Alamance-Burlington Schools,Career Technical Education Center,State Of North Carolina,36.09,-79.39,"2550, Buckingham Road, Burlington, 13, Haw River, Alamance County, North Carolina, United States, 27217"
10324,27302,Alamance-Burlington Schools,Eastern Alamance High,State Of North Carolina,36.11,-79.3,"4040, Mebane Rogers Road, Mebane, Melville, Alamance County, North Carolina, United States, 27302"
10348,27253,Alamance-Burlington Schools,Graham High,State Of North Carolina,36.08,-79.38,"903, Trollinger Road, Graham, 6, Graham, Alamance County, North Carolina, United States, 27253, 1945"
10360,27217,Alamance-Burlington Schools,Hugh M Cummings High,State Of North Carolina,36.09,-79.4,"2200, North Mebane Street, Burlington, 6, Graham, Alamance County, North Carolina, United States, 27217"
10388,27253,Alamance-Burlington Schools,Southern High,State Of North Carolina,36.01,-79.41,"631, Southern High School Road, Graham, 7, Albright, Alamance County, North Carolina, United States, 27253, 8414"
10396,27215,Alamance-Burlington Schools,Walter M Williams High,State Of North Carolina,36.09,-79.45,"1307, South Church Street, Burlington, 12, Burlington, Alamance County, North Carolina, United States, 27215, 4919"
10400,27244,Alamance-Burlington Schools,Western Alamance High,State Of North Carolina,36.15,-79.5,"1731, North North Carolina Highway 87, Elon, 3, Boone Station, Alamance County, North Carolina, United States, 27244, 9711"
20302,28681,Alexander County Schools,Alexander Central High,State Of North Carolina,35.92,-81.19,"223, School Drive, Township of Taylorsville, Taylorsville, Alexander County, North Carolina, United States, 28681"
20303,28681,Alexander County Schools,Alexander Early College,State Of North Carolina,35.91,-81.18,"230, Industrial Boulevard, Township of Taylorsville, Taylorsville, Alexander County, North Carolina, United States, 28681, 5910"
30304,28675,Alleghany County Schools,Alleghany High,State Of North Carolina,36.51,-81.12,"404, Trojan Avenue, Sparta, Gap Civil, Alleghany County, North Carolina, United States, 28675"
40304,28135,Anson County Schools,Anson Co. Early College High,State Of North Carolina,35,-80.21,"Ledbetter Street, Polkton, Lanesboro, Anson County, North Carolina, United States, 28135"
40306,28170,Anson County Schools,Anson High School,State Of North Carolina,34.98,-80.1,"96, Anson High School Road, Wadesboro, Wadesboro, Anson County, North Carolina, United States, 28170, 8538"
40700,28170,Anson County Schools,Anson New Tech High,State Of North Carolina,34.98,-80.1,"96, Anson High School Road, Wadesboro, Wadesboro, Anson County, North Carolina, United States, 28170, 8538"
50302,28694,Ashe County Schools,Ashe County High,State Of North Carolina,36.39,-81.48,"184, Campus Drive, West Jefferson, West Jefferson, Ashe County, North Carolina, United States, 28694"
60302,28657,Avery County Schools,Avery County High,State Of North Carolina,36.07,-81.92,"401, Avery Co High School Road, Newland, Newland No. 2, Avery County, North Carolina, United States, 28657, 8959"
60700,28657,Avery County Schools,Avery High STEM Academy,State Of North Carolina,36.07,-81.92,"401, Avery Co High School Road, Newland, Newland No. 2, Avery County, North Carolina, United States, 28657, 8959"
60701,28657,Avery County Schools,Avery High Viking Academy,State Of North Carolina,36.07,-81.92,"401, Avery Co High School Road, Newland, Newland No. 2, Avery County, North Carolina, United States, 28657, 8959"
70311,27889,Beaufort County Schools,Beaufort Co Early College High,State Of North Carolina,35.6,-77.12,"5337, U.S. 264, Washington, Washington, Beaufort County, North Carolina, United States, 27889"
70330,27865,Beaufort County Schools,Northside High, Pinetown,35.54,-76.73,"7868, Free Union Church Road, Pinetown, Pantego, Beaufort County, North Carolina, United States, 27865, 9550"
70339,27817,Beaufort County Schools,Southside High,State Of North Carolina,35.45,-77.06,"5700, North Carolina 33, Chocowinity, Chocowinity, Beaufort County, North Carolina, United States, 27817"
70342,27889,Beaufort County Schools,Washington High,State Of North Carolina,35.56,-77.02,"400, Slatestone Road, Washington, Long Acre, Beaufort County, North Carolina, United States, 27889"
80311,27983,Bertie County Schools,Bertie Early College High,State Of North Carolina,36.03,-77.01,"819, Governors Road, Windsor, Windsor, Bertie County, North Carolina, United States, 27983, 7650"
80312,27983,Bertie County Schools,Bertie High,State Of North Carolina,36.05,-76.97,"716, U.S. 13, Windsor, Windsor, Bertie County, North Carolina, United States, 27983"
80700,27983,Bertie County Schools,Bertie STEM High,State Of North Carolina,36.05,-76.97,"716, U.S. 13, Windsor, Windsor, Bertie County, North Carolina, United States, 27983"
90330,28337,Bladen County Schools,East Bladen High,State Of North Carolina,34.58,-78.53,"5600, North Carolina 87, Elizabethtown, Elizabethtown, Bladen County, North Carolina, United States, 28337, 4898"
90368,28320,Bladen County Schools,West Bladen High,State Of North Carolina,34.64,-78.74,"1600, North Carolina 410, Bladenboro, Bethel, Bladen County, North Carolina, United States, 28320"
100307,28422,Brunswick County Schools,Brunswick County Early College,State Of North Carolina,34.04,-78.23,"Administrative Building & Student Center, 50, College Road Northeast, Bolivia, Lockwoods Folly, Brunswick County, North Carolina, United States, 28422"
100326,28451,Brunswick County Schools,North Brunswick High,State Of North Carolina,34.24,-78.02,"114, Scorpion Drive Northeast, Leland, Northwest, Brunswick County, North Carolina, United States, 28451, 9101"
100334,28461,Brunswick County Schools,South Brunswick High,State Of North Carolina,34.01,-78.04,"280, Cougar Road, Southport, Town Creek, Brunswick County, North Carolina, United States, 28461, 9006"
100348,28470,Brunswick County Schools,West Brunswick High,State Of North Carolina,33.98,-78.41,"550, Whiteville Road Northwest, Shallotte, Shallotte, Brunswick County, North Carolina, United States, 28470, 6556"
110303,28778,Buncombe County Schools,Community High School,State Of North Carolina,35.6,-82.4,"235, Old US Highway 70, Swannanoa, Swannanoa, Buncombe County, North Carolina, United States, 28778, 2318"
110304,28803,Buncombe County Schools,Reynolds High,State Of North Carolina,35.55,-82.48,"1, Rocket Drive, Asheville, Asheville, Buncombe County, North Carolina, United States, 28803, 9100"
110322,28801,Buncombe County Schools,Early College,State Of North Carolina,35.57,-82.55,"340, Victoria Road, Asheville, Buncombe County, North Carolina, United States, 28801"
110323,28801,Buncombe County Schools,Middle College,State Of North Carolina,35.57,-82.55,"340, Victoria Road, Asheville, Buncombe County, North Carolina, United States, 28801"
110336,28711,Buncombe County Schools,Owen High,State Of North Carolina,35.61,-82.37,"99, Lake Eden Road, Black Mountain, Black Mountain, Buncombe County, North Carolina, United States, 28711, 8849"
110340,28806,Buncombe County Schools,Erwin High,State Of North Carolina,35.62,-82.63,"60, Lees Creek Road, Asheville, Leicester, Buncombe County, North Carolina, United States, 28806, 4713"
110352,28715,Buncombe County Schools,Enka High,State Of North Carolina,35.53,-82.67,"475, Enka Lake Road, Candler, Lower Hominy, Buncombe County, North Carolina, United States, 28715"
110380,28787,Buncombe County Schools,North Buncombe High,State Of North Carolina,35.74,-82.56,"890, Clarks Chapel Road, Weaverville, Flat Creek, Buncombe County, North Carolina, United States, 28787"
110416,28803,Buncombe County Schools,Roberson High,State Of North Carolina,35.49,-82.54,"250, Overlook Road, Asheville, Buncombe County, North Carolina, United States, 28803"
110500,28806,Buncombe County Schools,Nesbitt Discovery Academy,State Of North Carolina,35.61,-82.58,"10, 175, Bingham Road, Asheville, Buncombe County, North Carolina, United States, 28806"
111302,28803,Asheville City Schools,Asheville High,State Of North Carolina,35.57,-82.55,"419, McDowell Street, Asheville, Buncombe County, North Carolina, United States, 28803, 2610"
111700,28803,Asheville City Schools,School of Inquiry and Life Sciences,State Of North Carolina,35.57,-82.55,"419, McDowell Street, Asheville, Buncombe County, North Carolina, United States, 28803, 2610"
120310,28655,Burke County Schools,Burke Middle College,State Of North Carolina,35.72,-81.69,"1001, Burkemont Avenue, Morganton, Morganton, Burke County, North Carolina, United States, 28655"
120314,28612,Burke County Schools,East Burke High,State Of North Carolina,35.72,-81.48,"3695, East Burke Boulevard, Connelly Springs, Icard, Burke County, North Carolina, United States, 28612"
120318,28655,Burke County Schools,Freedom High,State Of North Carolina,35.74,-81.72,"511, Independence Boulevard, Morganton, Quaker Meadows, Burke County, North Carolina, United States, 28655, 5502"
120346,28690,Burke County Schools,Jimmy C Draughn High School,State Of North Carolina,35.74,-81.57,"709, Lovelady Road Northeast, Valdese, Lovelady, Burke County, North Carolina, United States, 28690, 8856"
120370,28655,Burke County Schools,Robert L. Patton High School,State Of North Carolina,35.7,-81.67,"701, Enola Road, Morganton, Morganton, Burke County, North Carolina, United States, 28655, 4624"
130307,28027,Cabarrus County Schools,Cox Mill High School,State Of North Carolina,35.4,-80.73,"1355, Cox Mill Road, Concord, 2, Poplar Tent, Cabarrus County, North Carolina, United States, 28027"
130310,28025,Cabarrus County Schools,Central Cabarrus High,State Of North Carolina,35.36,-80.58,"505, North Carolina 49, Concord, 11, Central Cabarrus, Cabarrus County, North Carolina, United States, 28025, 9219"
