unit_code,Teacher Experience 0 to 3 Years,Teacher Experience 4 to 10 Years,Teacher Experience 11+ Years,1yrTeacherTurnover,Principal Experience 0 to 3 Years,Principal Experience 4 to 10 Years,Principal Experience 11+ Years
10303,0,12.5,87.5,0,33.3,52.8,13.9
10324,19.4,32.8,47.8,3.6,33.3,52.8,13.9
10348,33.3,18.5,48.1,28,33.3,52.8,13.9
10360,25.8,25.8,48.5,10.6,33.3,52.8,13.9
10388,22.6,21.4,56,15.3,33.3,52.8,13.9
10396,19,22.2,58.7,17.1,33.3,52.8,13.9
10400,15.7,21.4,62.9,13.3,33.3,52.8,13.9
20302,12.6,25.3,62.1,9.3,45.5,36.4,18.2
20303,0,0,100,0,45.5,36.4,18.2
30304,13.5,21.6,64.9,11,25,50,25
40304,33.3,16.7,50,26.3,70,30,0
40306,37,15.2,47.8,31.1,70,30,0
40700,71.4,0,28.6,32.4,70,30,0
50302,22.7,15.2,62.1,9.2,20,60,20
60302,13.8,20.7,65.5,7.4,33.3,44.4,22.2
60700,28.6,0,71.4,12.5,33.3,44.4,22.2
60701,10,10,80,0,33.3,44.4,22.2
70311,16.7,33.3,50,15.4,38.5,46.2,15.4
70330,28.6,22.9,48.6,16.7,38.5,46.2,15.4
70339,14.3,28.6,57.1,22.2,38.5,46.2,15.4
70342,20.3,20.3,59.4,18.8,38.5,46.2,15.4
80311,28.6,0,71.4,37.5,75,25,0
80312,24.1,27.6,48.3,34.2,75,25,0
80700,71.4,0,28.6,50,75,25,0
90330,15.9,11.4,72.7,9.8,61.5,30.8,7.7
90368,18.8,18.8,62.5,17,61.5,30.8,7.7
100307,30.8,0,69.2,8.3,36.8,47.4,15.8
100326,28.8,31.5,39.7,8.8,36.8,47.4,15.8
100334,17.6,27,55.4,12.7,36.8,47.4,15.8
100348,19.3,17,63.6,13,36.8,47.4,15.8
110304,16.5,26.6,57,16,34.1,43.2,22.7
110322,13.3,40,46.7,21.4,34.1,43.2,22.7
110323,0,25,75,0,34.1,43.2,22.7
110336,16.7,25.9,57.4,14.6,34.1,43.2,22.7
110340,22.6,35.7,41.7,13.7,34.1,43.2,22.7
110352,20.8,23.6,55.6,5.6,34.1,43.2,22.7
110380,11.1,20.6,68.3,12.6,34.1,43.2,22.7
110416,14.7,20.6,64.7,12.1,34.1,43.2,22.7
110500,22.2,38.9,38.9,0,34.1,43.2,22.7
111302,17.6,18.7,63.7,16.4,42.9,42.9,14.3
111700,7.1,28.6,64.3,18.8,42.9,42.9,14.3
120310,0,0,100,0,48.1,29.6,22.2
120314,21.4,17.9,60.7,17.9,48.1,29.6,22.2
120318,10.8,15.4,73.8,12.3,48.1,29.6,22.2
120346,11.4,22.9,65.7,16.9,48.1,29.6,22.2
120370,10.9,14.5,74.5,10.5,48.1,29.6,22.2
130307,27.3,29.5,43.2,17.5,56.4,28.2,15.4
130316,16.3,20.9,62.8,13,56.4,28.2,15.4
130324,10.7,19.6,69.6,10.6,56.4,28.2,15.4
130326,15.6,32.5,51.9,8.8,56.4,28.2,15.4
130332,22.7,34.1,43.2,20.6,56.4,28.2,15.4
130349,0,75,25,0,56.4,28.2,15.4
130350,40,20,40,11.8,56.4,28.2,15.4
132304,17.9,20,62.1,16.9,57.1,28.6,14.3
140305,18.8,18.8,62.5,5.6,34.6,46.2,19.2
140309,11.1,33.3,55.6,11.1,34.6,46.2,19.2
140348,10.9,15.6,73.4,14,34.6,46.2,19.2
140386,12,18.5,69.4,10.2,34.6,46.2,19.2
140390,17.6,19.1,63.2,14.4,34.6,46.2,19.2
150304,5.6,22.2,72.2,5.6,20,80,0
150350,22.2,22.2,55.6,0,20,80,0
160313,8.7,26.1,65.2,9.2,58.8,23.5,17.6
160314,23.6,16.4,60,20.6,58.8,23.5,17.6
160344,10.3,19.2,70.5,14,58.8,23.5,17.6
170316,25.9,29.6,44.4,25,50,16.7,33.3
180308,7.8,19.6,72.5,3.9,57.1,35.7,7.1
180320,27.8,25.9,46.3,10.5,57.1,35.7,7.1
180325,21.4,35.7,42.9,14,57.1,35.7,7.1
180340,17.2,12.1,70.7,19.1,57.1,35.7,7.1
180348,10.7,16.1,73.2,3.7,57.1,35.7,7.1
180376,6.8,28.4,64.9,13.7,57.1,35.7,7.1
181318,20.8,29.2,50,15.7,44.4,22.2,33.3
181322,38.6,14.3,47.1,29.5,44.4,22.2,33.3
182316,20.4,22.2,57.4,14.6,14.3,85.7,0
182700,8.3,33.3,58.3,20.7,14.3,85.7,0
190316,16.7,30,53.3,12.7,29.4,52.9,17.6
190336,12.9,40.3,46.8,11.1,29.4,52.9,17.6
190342,18.5,30.9,50.6,10.1,29.4,52.9,17.6
190501,0,0,0,0,29.4,52.9,17.6
200308,31.8,36.4,31.8,9.1,76.9,15.4,7.7
200314,17.6,41.2,41.2,0,76.9,15.4,7.7
200328,12.9,16.1,71,14.3,76.9,15.4,7.7
200350,42.9,14.3,42.9,0,76.9,15.4,7.7
210312,27.9,27.9,44.2,27.6,50,25,25
220310,6.3,15.6,78.1,12.9,33.3,0,66.7
230312,18.4,32.9,48.7,8.3,69,27.6,3.4
230322,18.2,27.3,54.5,0,69,27.6,3.4
230324,11.4,32.9,55.7,15.3,69,27.6,3.4
230350,14.6,22,63.4,11.5,69,27.6,3.4
230361,18,21.3,60.7,6.6,69,27.6,3.4
240334,27.3,27.3,45.5,25.7,33.3,50,16.7
240371,15.9,18.2,65.9,4.6,33.3,50,16.7
240373,25,8.3,66.7,8.7,33.3,50,16.7
240380,17.6,38.2,44.1,5.9,33.3,50,16.7
241316,15.9,18.2,65.9,21.3,40,60,0
250314,30.8,46.2,23.1,38.5,24,56,20
250321,36.4,36.4,27.3,0,24,56,20
250340,23.9,20.9,55.2,23,24,56,20
250356,16,20.2,63.8,6.2,24,56,20
250372,21.9,23.4,54.7,16.9,24,56,20
260318,18.4,17.5,64.1,16,33.3,49.4,17.2
260322,28.4,25.9,45.7,25.3,33.3,49.4,17.2
260325,13.5,16.9,69.7,12.8,33.3,49.4,17.2
260347,7.7,46.2,46.2,28.6,33.3,49.4,17.2
260354,21.4,14.3,64.3,24.2,33.3,49.4,17.2
260357,15.4,23.1,61.5,13.2,33.3,49.4,17.2
260359,22,11.9,66.1,18.5,33.3,49.4,17.2
260388,9.1,40.9,50,4.6,33.3,49.4,17.2
260408,14.3,28.6,57.1,15.2,33.3,49.4,17.2
260411,28,4,68,16.1,33.3,49.4,17.2
260424,25.3,26.4,48.3,20,33.3,49.4,17.2
260427,12.9,26.9,60.2,14.3,33.3,49.4,17.2
260446,13.2,22.1,64.7,19.4,33.3,49.4,17.2
260455,21.9,24.7,53.4,4.4,33.3,49.4,17.2
260700,10,30,60,0,33.3,49.4,17.2
270306,17.9,20.9,61.2,20,50,30,20
270311,20,40,40,11.1,50,30,20
280304,20.7,17.2,62.1,3.2,18.2,54.5,27.3
280316,17.1,24.4,58.5,2.6,18.2,54.5,27.3
280330,14,26.3,59.6,10.4,18.2,54.5,27.3
290308,23.3,21.7,55,18.3,48.6,42.9,8.6
290315,0,0,100,0,48.6,42.9,8.6
290324,20.3,22,57.6,6.1,48.6,42.9,8.6
290336,21.7,21.7,56.5,7.5,48.6,42.9,8.6
290348,14.7,25.3,60,6.6,48.6,42.9,8.6
290365,8.8,26.5,64.7,9,48.6,42.9,8.6
290388,10.4,25,64.6,16.3,48.6,42.9,8.6
290389,15.4,15.4,69.2,0,48.6,42.9,8.6
291336,27.8,25.9,46.3,18.9,28.6,57.1,14.3
292324,23.5,11.8,64.7,23.5,50,50,0
300312,28.2,20,51.8,15.9,63.6,27.3,9.1
300314,16.7,16.7,66.7,0,63.6,27.3,9.1
310338,25,50,25,12.5,37.5,31.3,31.3
310344,12.1,29.3,58.6,11.4,37.5,31.3,31.3
310352,36.6,22,41.5,20.9,37.5,31.3,31.3
310364,28.6,22.9,48.6,23.5,37.5,31.3,31.3
310392,22.5,30,47.5,17.1,37.5,31.3,31.3
320309,40,33.3,26.7,20.7,35.2,46.3,18.5
320312,32.1,25.9,42,20.6,35.2,46.3,18.5
320317,34.6,19.2,46.2,16.8,35.2,46.3,18.5
320325,30.4,26.1,43.5,15.8,35.2,46.3,18.5
320353,16.7,0,83.3,0,35.2,46.3,18.5
320356,31.6,27.4,41.1,24,35.2,46.3,18.5
320365,27.7,15.2,57.1,16.8,35.2,46.3,18.5
320368,51.1,17,31.9,15.6,35.2,46.3,18.5
320701,23.8,42.9,33.3,5,35.2,46.3,18.5
330326,37.5,25,37.5,0,85.7,14.3,0
330328,28.6,14.3,57.1,0,85.7,14.3,0
330350,12,32,56,0,85.7,14.3,0
330358,20,20,60,0,85.7,14.3,0
340330,28.3,26.4,45.3,28.1,34.2,38,27.8
340362,0,33.3,66.7,0,34.2,38,27.8
340364,13.6,20.9,65.5,11.8,34.2,38,27.8
340382,20.4,20.4,59.1,17.3,34.2,38,27.8
340446,20,0,80,0,34.2,38,27.8
340454,17,22.7,60.2,13.1,34.2,38,27.8
340460,32.1,23.5,44.4,20.6,34.2,38,27.8
340495,11.2,24.5,64.3,14.9,34.2,38,27.8
340542,34.6,23.1,42.3,19.1,34.2,38,27.8
340556,16,18.4,65.6,7.3,34.2,38,27.8
350308,24.5,26.4,49.1,21.6,80,13.3,6.7
350317,16.7,33.3,50,14.3,80,13.3,6.7
350321,22.8,28.1,49.1,22.4,80,13.3,6.7
350336,19.5,31.7,48.8,16.1,80,13.3,6.7
